chain_id,name
10487,Alfagar Aparthotels & Resorts
10533,Avid
10689,Dazzler By Wyndham
10690,Esplendor by Wyndham
10696,Frasers Hospitality
10697,Park Hotel
10778,Jinyi Chain Hotels
10810,Saffron Stays
10820,Novum Hotels
10821,niu Hotels
10822,Novum Select Hotels
10825,Novum Hospitality
10845,Bookiply
10852,Graduate
10896,Duna Parque Group
10962,Odalys Plein Air
10987,Evason Resorts & Spas
11012,HomeTowne
11069,Hoteles Extended Suites
11097,Misty Blue Group
11120,Eldorado
11180,Manquehue
11345,Checkin Hoteles
11389,Eko Stay
11419,Sun Siyam
11485,Aiden by Best Western
11496,Grand Bleu Vacances
11518,Mantra
11520,BreakFree
11521,Peppers
11560,MÃ¶venpick
11562,ONOMO HOTELS
11572,Hesperia Hotels & Resorts
11573,StayVista
11575,Voco
11616,Armani Hotels
11665,The Originals Access
11666,The Originals Boutique
11667,The Originals City
11668,The Originals Collection
11669,The Originals Relais
11670,The Originals RÃ©sidence
11694,LXR Hotels & Resorts
11809,Huazhu Hotels
11856,Sure Hotel by Best Western
11857,Sure Hotel Collection by Best Western
11860,HappyCulture
11865,Emeraude France
11866,BBHotels
11912,Rija
11923,Wellton
11925,Rixwell
11950,Naos Hotel Groupe
11956,d'primahotel
11957,Fiesta Inn
11958,Gamma Hotels
11968,Grand Fiesta Americana
11969,Live Aqua
11970,Grupo Posadas - One Hotels
11975,Mahabaleshwar Stay
11979,DP Murphy Hotels
11980,Groupe Kejja
11981,Superior Lodging / Masterbuilt Hotels
12026,Camino Real
12027,Real Inn
12028,Oxohotel
12051,VBA Hospitality Group
12090,Orchid Hotels & Resort
12119,Jaz
12120,MAXX
12124,Larco Hospitality
12126,Kyriad Direct
12132,Magnuson Hotels
12134,DREAM Hostels
12135,BON Hotels
12151,Lixi
12197,Les HÃ´tels de Beauval
12204,Sahid Hotels & Resort
12220,La Quinta by Wyndham
12223,Leonardo Hotels & Resorts
12250,Greet Hotel
12262,Aldiana
12264,StayPineapple Hotels
12269,Thracian Hoteliers
12275,Olive Hotels
12278,Eden Roc
12279,Nobu
12287,MIX Hotels
12289,Aquilini
12293,SeleQtions
12307,City Plus
12308,City Centro
12310,Ayenda Hoteles
12321,Unlock Boutique Hotels
12322,Hawaiian Hotels & Resorts
12344,Prime Plaza Hotels & Resorts
12355,B&B Austria
12360,ICON
12378,DesenzanoLoft
12379,GÃ³rskie Resorty
12385,The Q Project
12386,Brava Hoteles
12403,CLLIX Apartments and Hotels
12404,Lotel
12405,AfriCamps Boutique Camping
12418,Ephoenix
12419,HS Hotsson
12451,Sky HotÃ©is
12452,TrevPAR World Group
12459,Westmont Hospitality Canada
12461,Regent
12505,lyf
12537,Profil Hotels by Ligula
12539,Emporio Hotels
12597,Garden Court
12599,Southern Sun Hotels
12600,StayEasy
12601,Sun1
