region_id,name,country,region_type
1821,East Tyrol,at,free_region
1822,GroÃglockner-Grossvenediger,at,free_region
1824,Krkonose,cz,free_region
1826,Bregenzerwald,at,free_region
1829,Moravia-Silesia,cz,province
1830,Spa destinations,at,other
1831,Upper-Sure,lu,free_region
1833,Kempten,de,other
1834,Tricity,pl,free_region
1838,Pontine,it,island
1840,Castels and Fortresses,at,other
1841,Faro District,pt,other
1842,Braga District,pt,other
1843,Viana do Castelo District,pt,other
1844,Castelo Branco District,pt,other
1845,Coimbra District,pt,other
1846,SantarÃ©m District,pt,other
1847,Porto District,pt,other
1848,Aveiro District,pt,other
1849,Lisboa District,pt,other
1850,Evora District,pt,other
1851,Beja District,pt,other
1852,SetÃºbal District,pt,other
1854,European Beach Destinations,es,other
1856,Vienna surrounding,at,free_region
1859,Serra da Estrela,pt,free_region
1865,Zillertal Arena,at,other
1867,Ãtztal,at,free_region
1872,Basque Coast,fr,other
1873,PÃ©rigord,fr,free_region
1874,Quercy,fr,free_region
1875,PyrÃ©nÃ©es,fr,free_region
1879,Wolfgangsee,at,free_region
1880,Linz Land,at,free_region
1881,Swietokrzyskie,pl,province
1882,Viseu district,pt,other
1884,Rothenburg Land,de,other
1885,Calais Coquelles,fr,other
1897,Reschenpass,it,other
1898,Vulkan Eifel,de,free_region
1899,Trier,de,other
1900,Stubaital,at,free_region
1901,Carinthian Lakes,at,free_region
1902,Leiria District,pt,other
1904,Interlaken Region,ch,other
1905,Kleinwalsertal,de,free_region
1906,Achterhoek,nl,free_region
1908,Seefeld Plateau,at,free_region
1910,Tinos,gr,island
1912,Disneyland,fr,other
1930,MÃ¸re og Romsdal,no,province
1931,Dovre,no,free_region
1932,Troms,no,free_region
1933,Rondane,no,free_region
1934,Ãstfold,no,free_region
1935,Vestfold,no,free_region
1936,Hedmark,no,free_region
1937,Finnmark,no,free_region
1967,La DÃ©fense,fr,free_region
1969,Limassol Region,cy,free_region
1970,Portalegre District,pt,other
1975,Riviera delle Palme,it,free_region
1976,Riviera dei Fiori,it,free_region
1978,Dordogne,fr,free_region
1979,Lubuskie,pl,province
1980,Lincolnshire,gb,province
1981,Derbyshire,gb,province
1982,Northamptonshire,gb,province
1983,Cheshire,gb,province
1984,Hertfordshire,gb,province
1987,Protaras,cy,other
1991,Mugello,it,free_region
1993,Etruscan Coast,it,free_region
1994,Rethymno,gr,province
2002,Distrito de BraganÃ§a,pt,other
2003,Zakopane Region,pl,free_region
2004,Turkish Riviera,tr,free_region
2005,Krakow Region,pl,other
2006,Chania,gr,province
2008,North Sea Coast Germany,de,free_region
2010,Mediterranean sea,gr,other
2014,Krk Island,hr,island
2015,Brac Island,hr,island
2016,Hvar Island,hr,island
